id,cliente,genero,edad
599528,Samuel Ward,Male,36
121688,Willie Gonzales,Male,53
552148,Betty Spencer,Female,42
102019,Beverly Jordan,Female,54
189384,Cynthia Flores,Female,55
350566,Donna Hansen,Female,66
404403,Anthony Reid,Male,64
505565,Sharon Webb,Female,52
945184,Nancy Banks,Female,45
1406787,Stephanie Hudson,Female,35
820159,Brenda White,Female,67
319880,Ashley Burns,Female,50
608628,Ronald Jackson,Male,76
956011,Ruby Larson,Female,55
1318394,Jonathan Harper,Male,69
61806,Louis Sullivan,Male,56
1331125,Charles Brown,Male,67
911093,Jimmy Day,Male,79
157419,Sarah Mills,Female,48
1166562,Brenda Franklin,Female,40
464138,Margaret Moore,Female,46
273406,Lisa Shaw,Female,36
1233140,Catherine Wilson,Female,56
813069,Christine Stewart,Female,70
504901,Louis Day,Male,71
1041255,Jesse Murray,Male,46
328126,Jessica Marshall,Female,74
497826,Henry Hernandez,Male,81
666960,Juan Burton,Male,71
1161163,Ruby Thomas,Female,44
1281446,Deborah Foster,Female,79
217773,Donna Foster,Female,54
1043433,Ashley Garcia,Female,55
1242777,Sharon Burton,Female,68
826010,Ashley Rice,Female,75
286616,Shawn Robertson,Male,67
1192199,Robin Fernandez,Female,64
1235292,Steven Simpson,Male,30
1236753,Cynthia Meyer,Female,59
977567,Gerald Grant,Male,60
1252850,Virginia Myers,Female,77
34648,Lisa Alexander,Female,34
22090,Denise Mason,Female,64
396761,Jimmy Stewart,Male,59
1020169,Rose Larson,Female,29
800638,Lillian Porter,Female,60
571258,Karen Reed,Female,32
1299250,Annie Holmes,Female,37
254621,Carolyn Myers,Female,55
291283,Janice Carroll,Female,52
1001673,Brian Lane,Male,48
1344887,Irene Sanders,Female,76
639964,Shirley Hall,Female,37
1233931,David Baker,Male,43
876581,Tammy Stewart,Female,53
480593,Doris Brown,Female,33
1094490,Nicole Arnold,Female,26
422787,John Wood,Male,65
1076270,Roger Franklin,Male,49
84327,Brandon Reynolds,Male,75
1381613,Rachel Butler,Female,78
1026720,Fred Hughes,Male,67
138131,Debra Woods,Female,59
1093035,Julie Myers,Female,43
322407,Peter Snyder,Male,40
555094,Steven Harris,Male,50
873401,Betty Wagner,Female,63
570360,Michael Boyd,Male,39
1042749,David Daniels,Male,61
346597,Jane Fields,Female,33
1360085,Jimmy Carter,Male,40
1291803,Harold Knight,Male,59
